FuelMass_kg,InitialMass_kg,Mass_fractoion,Thrust_N,MassFlowRate_kgps,BurnTime_s,Apogee_m
0.5,20.575,1.02490660024907,1000,0.497422542916063,1.005181625,96.5664172453551
0.5,20.575,1.02490660024907,1333.33333333333,0.663230057221417,0.75388621875,102.320569581229
0.5,20.575,1.02490660024907,1666.66666666667,0.829037571526771,0.603108975,105.747669886367
0.5,20.575,1.02490660024907,2000,0.994845085832125,0.5025908125,108.021406255514
0.5,20.575,1.02490660024907,2333.33333333333,1.16065260013748,0.430792125,109.639971172064
0.5,20.575,1.02490660024907,2666.66666666667,1.32646011444283,0.376943109375,110.850873650744
0.5,20.575,1.02490660024907,3000,1.49226762874819,0.335060541666667,111.79087872201
0.5,20.575,1.02490660024907,3333.33333333333,1.65807514305354,0.3015544875,112.541735177172
0.5,20.575,1.02490660024907,3666.66666666667,1.8238826573589,0.274140443181818,113.155309076026
0.5,20.575,1.02490660024907,4000,1.98969017166425,0.25129540625,113.666093445487
1,21.15,1.04962779156328,1000,0.497422542916063,2.01036325,349.543933435825
1,21.15,1.04962779156328,1333.33333333333,0.663230057221417,1.5077724375,368.015260959313
1,21.15,1.04962779156328,1666.66666666667,0.829037571526771,1.20621795,378.788812265485
1,21.15,1.04962779156328,2000,0.994845085832125,1.005181625,385.839682034121
1,21.15,1.04962779156328,2333.33333333333,1.16065260013748,0.86158425,390.810921902247
1,21.15,1.04962779156328,2666.66666666667,1.32646011444283,0.75388621875,394.503363197064
1,21.15,1.04962779156328,3000,1.49226762874819,0.670121083333333,397.353803891944
1,21.15,1.04962779156328,3333.33333333333,1.65807514305354,0.603108975,399.620574776869
1,21.15,1.04962779156328,3666.66666666667,1.8238826573589,0.548280886363636,401.46619308451
1,21.15,1.04962779156328,4000,1.98969017166425,0.5025908125,402.997994140158
1.5,21.725,1.07416563658838,1000,0.497422542916063,3.015544875,697.159652190922
1.5,21.725,1.07416563658838,1333.33333333333,0.663230057221417,2.26165865625,727.646319169858
1.5,21.725,1.07416563658838,1666.66666666667,0.829037571526771,1.809326925,744.836038784657
1.5,21.725,1.07416563658838,2000,0.994845085832125,1.5077724375,755.842755843734
1.5,21.725,1.07416563658838,2333.33333333333,1.16065260013748,1.292376375,763.477138096646
1.5,21.725,1.07416563658838,2666.66666666667,1.32646011444283,1.130829328125,769.081973750154
1.5,21.725,1.07416563658838,3000,1.49226762874819,1.005181625,773.334822841991
1.5,21.725,1.07416563658838,3333.33333333333,1.65807514305354,0.9046634625,776.710494515265
1.5,21.725,1.07416563658838,3666.66666666667,1.8238826573589,0.822421329545455,779.442895391669
1.5,21.725,1.07416563658838,4000,1.98969017166425,0.75388621875,781.704383284974
2,22.3,1.09852216748768,1000,0.497422542916063,4.0207265,1091.73115916999
2,22.3,1.09852216748768,1333.33333333333,0.663230057221417,3.015544875,1128.77874520621
2,22.3,1.09852216748768,1666.66666666667,0.829037571526771,2.4124359,1148.49662919902
2,22.3,1.09852216748768,2000,0.994845085832125,2.01036325,1160.57639144381
2,22.3,1.09852216748768,2333.33333333333,1.16065260013748,1.7231685,1168.71861976355
2,22.3,1.09852216748768,2666.66666666667,1.32646011444283,1.5077724375,1174.5653669377
2,22.3,1.09852216748768,3000,1.49226762874819,1.34024216666667,1178.92382904632
2,22.3,1.09852216748768,3333.33333333333,1.65807514305354,1.20621795,1182.28428774152
2,22.3,1.09852216748768,3666.66666666667,1.8238826573589,1.09656177272727,1184.97289669679
2,22.3,1.09852216748768,4000,1.98969017166425,1.005181625,1187.18213349467
2.5,22.875,1.12269938650307,1000,0.497422542916063,5.025908125,1504.98162553944
2.5,22.875,1.12269938650307,1333.33333333333,0.663230057221417,3.76943109375,1541.30783749066
2.5,22.875,1.12269938650307,1666.66666666667,0.829037571526771,3.015544875,1558.77508476531
2.5,22.875,1.12269938650307,2000,0.994845085832125,2.5129540625,1568.56093010899
2.5,22.875,1.12269938650307,2333.33333333333,1.16065260013748,2.153960625,1574.66633405318
2.5,22.875,1.12269938650307,2666.66666666667,1.32646011444283,1.884715546875,1578.77219393716
2.5,22.875,1.12269938650307,3000,1.49226762874819,1.67530270833333,1581.7397712587
2.5,22.875,1.12269938650307,3333.33333333333,1.65807514305354,1.5077724375,1583.83479399862
2.5,22.875,1.12269938650307,3666.66666666667,1.8238826573589,1.37070221590909,1585.39896236156
2.5,22.875,1.12269938650307,4000,1.98969017166425,1.25647703125,1586.6320649812
3,23.45,1.14669926650367,1000,0.497422542916063,6.03108975,1923.40842455253
3,23.45,1.14669926650367,1333.33333333333,0.663230057221417,4.5233173125,1951.98782415662
3,23.45,1.14669926650367,1666.66666666667,0.829037571526771,3.61865385,1962.28540410694
3,23.45,1.14669926650367,2000,0.994845085832125,3.015544875,1966.29713673021
3,23.45,1.14669926650367,2333.33333333333,1.16065260013748,2.58475275,1967.79152397366
3,23.45,1.14669926650367,2666.66666666667,1.32646011444283,2.26165865625,1968.13714186798
3,23.45,1.14669926650367,3000,1.49226762874819,2.01036325,1968.0526493945
3,23.45,1.14669926650367,3333.33333333333,1.65807514305354,1.809326925,1967.64031784276
3,23.45,1.14669926650367,3666.66666666667,1.8238826573589,1.64484265909091,1967.02012162658
3,23.45,1.14669926650367,4000,1.98969017166425,1.5077724375,1966.40890987697
3.5,24.025,1.17052375152253,1000,0.497422542916063,7.036271375,2341.75131825334
3.5,24.025,1.17052375152253,1333.33333333333,0.663230057221417,5.27720353125,2355.48604681085
3.5,24.025,1.17052375152253,1666.66666666667,0.829037571526771,4.221762825,2354.13146552775
